month,annual,nonannual,difference
1988-10-01,-0.040463581331293165,0.024264749671338844,-0.064728331002632
1988-11-01,0.00911639960853848,-0.009517474813579903,0.018633874422118384
1988-12-01,6.164575939068481e-05,-0.017619690535769672,0.017681336295160357
1989-01-01,0.010667161332168724,-0.03517183161979252,0.04583899295196124
1989-02-01,0.014530024557372337,-0.005983611739259932,0.02051363629663227
1989-03-01,0.012794434261751763,-0.0018491973951510823,0.014643631656902845
1989-04-01,0.0009108813385540447,-0.009865892520673474,0.010776773859227519
1989-05-01,0.026829167087648716,-0.016242487001810368,0.04307165408945908
1989-06-01,0.016844639457700324,-0.024568821255811366,0.04141346071351169
1989-07-01,0.01991616959834494,0.0022901100004964065,0.017626059597848534
1989-08-01,-0.03626401816952825,0.002367665491950968,-0.03863168366147922
1989-09-01,0.0011520022320675935,0.015900417162171145,-0.014748414930103551
1989-10-01,0.012819186720255504,0.0050337906858577836,0.007785396034397721
1989-11-01,0.021674398031537975,0.005384851569363108,0.016289546462174866
1989-12-01,0.017125351072870762,0.007227129230494275,0.009898221842376487
1990-01-01,-0.02905536414587241,-0.002196707089418136,-0.026858657056454276
1990-02-01,-0.028263752301634942,0.010200471398640325,-0.03846422370027527
1990-03-01,-0.041227279480907014,-0.005760846532206307,-0.03546643294870071
1990-04-01,-0.008391609373864371,-0.011441287988964571,0.0030496786151002
1990-05-01,0.026663045704473712,0.04786837912512451,-0.0212053334206508
1990-06-01,0.026182804584267586,-0.003609755020387498,0.029792559604655086
1990-07-01,0.011778834221678192,0.006794205486836513,0.0049846287348416785
1990-08-01,-0.028660429300052942,-0.052004733774968004,0.023344304474915062
1990-09-01,-0.010449751473552316,-0.01746769283997321,0.007017941366420893
1990-10-01,0.05931833194291458,0.06476887518030292,-0.005450543237388333
1990-11-01,-0.04314919063485113,-0.030852419784751013,-0.012296770850100114
1990-12-01,-0.016947953884929954,-0.04446622642278783,0.027518272537857876
1991-01-01,-0.0007447268896393355,-0.032564166017540405,0.03181943912790107
1991-02-01,-0.008235191293891053,0.013888004615924737,-0.02212319590981579
1991-03-01,0.04678003363501569,-0.0715477932986832,0.11832782693369889
1991-04-01,-0.011273917718004407,-0.014171421819817424,0.0028975041018130167
1991-05-01,-0.001491143356163775,-0.007550636535550889,0.006059493179387114
1991-06-01,0.005238528558499302,0.0038660776104678454,0.0013724509480314562
1991-07-01,0.017743973804463513,0.01673799819995323,0.0010059756045102813
1991-08-01,-0.004381735307065024,-0.02033575899183353,0.015954023684768507
1991-09-01,0.025303612460791394,-0.014679693073140994,0.03998330553393239
1991-10-01,0.010286816233414035,0.0012652945099036333,0.009021521723510402
1991-11-01,-0.009702605494258193,-0.04649906104615971,0.036796455551901516
1991-12-01,0.02630042039681061,0.02239043969735864,0.003909980699451969
1992-01-01,-0.0126027787984564,-0.06303100777402547,0.05042822897556907
1992-02-01,0.02099999037732122,-0.015917094784306536,0.036917085161627755
1992-03-01,-0.0810065491401043,-0.07885420294683373,-0.0021523461932705656
1992-04-01,0.017654627785868533,-0.009135338893396919,0.02678996667926545
1992-05-01,-0.00868715764478338,0.007689352743555589,-0.01637651038833897
1992-06-01,-0.003419300651251629,-0.015831190953492277,0.012411890302240648
1992-07-01,-0.015360456144474201,-0.001159766526107997,-0.014200689618366204
1992-08-01,-0.006620754470608073,0.021319602517611266,-0.02794035698821934
1992-09-01,0.024700988987227605,0.09670473226544127,-0.07200374327821366
1992-10-01,0.00029152825773592905,0.006247832743501797,-0.005956304485765868
1992-11-01,0.01382127929678546,-0.0067988728319400005,0.02062015212872546
