table_id,metric_name,value
T1,m4_fep7_uncond,0.10032437741506094
T1,m4_fep7_cond_l1,0.10418353576248313
T1,m4_fep7_cond_l2,0.10344342937456079
T1,m4_fep7_cond_l3,0.1045761220299208
T1,m4_fep7_cond_l4,0.10795890200889434
T1,m4_fep8_uncond,0.09847633078742295
T1,m4_fep8_cond_l1,0.1006168608636052
T1,m4_fep8_cond_l2,0.10034256351698544
T1,m4_fep8_cond_l3,0.10349442379182155
T1,m4_fep8_cond_l4,0.10178156467854377
T1,m4_fep9_uncond,0.09978159448946096
T1,m4_fep9_cond_l1,0.12255700325732899
T1,m4_fep9_cond_l2,0.10376958915713681
T1,m4_fep9_cond_l3,0.10499037464830446
T1,m4_fep9_cond_l4,0.1027906976744186
T1,m4_fep10_uncond,0.10133240284831802
T1,m4_fep10_cond_l1,0.14013245033112584
T1,m4_fep10_cond_l2,0.10820484581497797
T1,m4_fep10_cond_l3,0.11488626547653326
T1,m4_fep10_cond_l4,0.10729806683650532
T3,d1_ret,0.11174124358563281
T3,d1_beta_ols,1.3197347223514857
T3,d1_beta_sw,1.352610686952145
T3,d2_ret,0.08985542056993259
T3,d2_beta_ols,1.3255309059446734
T3,d2_beta_sw,1.295199822475106
T3,d3_ret,0.07666373346698058
T3,d3_beta_ols,1.3313815027074438
T3,d3_beta_sw,1.2600884893913276
T3,d4_ret,0.06935536439242243
T3,d4_beta_ols,1.2787405265859444
T3,d4_beta_sw,1.212049028482937
T3,d5_ret,0.06296367694301298
T3,d5_beta_ols,1.2225967789615666
T3,d5_beta_sw,1.1573992339963568
T3,d6_ret,0.05748445915308388
T3,d6_beta_ols,1.180954580206211
T3,d6_beta_sw,1.0788134262687685
T3,d7_ret,0.05101786621586956
T3,d7_beta_ols,1.1665402055476068
T3,d7_beta_sw,1.0603972405451034
T3,d8_ret,0.04859839728872439
T3,d8_beta_ols,1.1032581245824096
T3,d8_beta_sw,1.0138135152164276
T3,d9_ret,0.033945355914340856
T3,d9_beta_ols,1.0857174152848232
T3,d9_beta_sw,0.9687081260849661
T3,d10_ret,0.023418778860099895
T3,d10_beta_ols,1.0633835309626611
T3,d10_beta_sw,0.9055276720284455
T4,m1_fep1_m1_0,-1.8524228139270535
T4,m2_fep1_m1_0,-1.5087929431975984
T4,m3_fep1_m1_0,-7.341732590530343
T4,m4_fep1_m1_0,-1.8917235762465252
T4,m1_fep1_m60_0,-5.7018024079404945
T4,m2_fep1_m60_0,-4.2646290280014005
T4,m3_fep1_m60_0,-7.129527695840701
T4,m4_fep1_m60_0,-23.100961466569206
T4,m1_fep1_p1_60,-2.284723497338256
T4,m2_fep1_p1_60,-1.3434933904257915
T4,m3_fep1_p1_60,-0.9000429142414772
T4,m4_fep1_p1_60,-0.3950811161510954
T4,m1_fep2_m1_0,-1.2040614120804847
T4,m2_fep2_m1_0,-0.9775468373574804
T4,m3_fep2_m1_0,-3.9311157821927964
T4,m4_fep2_m1_0,-1.055243587961944
T4,m1_fep2_m60_0,-3.518993167398696
T4,m2_fep2_m60_0,-3.1201790563839924
T4,m3_fep2_m60_0,-3.4592186543506367
T4,m4_fep2_m60_0,-15.577499988356463
T4,m1_fep2_p1_60,-1.5701182844649768
T4,m2_fep2_p1_60,-1.7027762498141537
T4,m3_fep2_p1_60,-0.24841174328799528
T4,m4_fep2_p1_60,-0.44577585828978533
T4,m1_fep3_m1_0,-0.584326701442533
T4,m2_fep3_m1_0,-0.7928375198276065
T4,m3_fep3_m1_0,-2.5167222924149204
T4,m4_fep3_m1_0,-0.642688183928185
T4,m1_fep3_m60_0,-1.474612482982915
T4,m2_fep3_m60_0,-2.277544169291093
T4,m3_fep3_m60_0,-1.8228575020000453
T4,m4_fep3_m60_0,-11.025941738733708
T4,m1_fep3_p1_60,-1.429781421506803
T4,m2_fep3_p1_60,-1.0823864438371176
T4,m3_fep3_p1_60,-0.49013725895896654
T4,m4_fep3_p1_60,0.18085606194292395
T4,m1_fep4_m1_0,-0.22023544971223513
T4,m2_fep4_m1_0,-0.41624442517112625
T4,m3_fep4_m1_0,-1.3332658302669276
T4,m4_fep4_m1_0,-0.29454265969551974
T4,m1_fep4_m60_0,-0.7759998509524265
T4,m2_fep4_m60_0,-0.8817631026065587
T4,m3_fep4_m60_0,-0.930473942344205
T4,m4_fep4_m60_0,-7.076260047309988
T4,m1_fep4_p1_60,-0.6154162878337573
T4,m2_fep4_p1_60,-0.7980077273402284
T4,m3_fep4_p1_60,-0.6724560790235214
T4,m4_fep4_p1_60,0.05026123378566168
T4,m1_fep5_m1_0,0.1327471894948635
T4,m2_fep5_m1_0,-0.0065253440324070395
T4,m3_fep5_m1_0,-0.41880820129727425
T4,m4_fep5_m1_0,0.13004316724441461
T4,m1_fep5_m60_0,-0.04145062299439719
T4,m2_fep5_m60_0,0.13448580972661256
T4,m3_fep5_m60_0,-0.3420618813437481
T4,m4_fep5_m60_0,-2.9991717616216813
T4,m1_fep5_p1_60,-0.4706527889269407
T4,m2_fep5_p1_60,-0.13882843049146473
T4,m3_fep5_p1_60,0.007959372219581524
T4,m4_fep5_p1_60,0.1597257845392205
T4,m1_fep6_m1_0,0.46491003928378505
T4,m2_fep6_m1_0,0.40171813347208835
T4,m3_fep6_m1_0,0.4728687902071014
T4,m4_fep6_m1_0,0.45695867296157416
T4,m1_fep6_m60_0,0.8700006649976401
T4,m2_fep6_m60_0,1.0225570342718453
T4,m3_fep6_m60_0,0.7132643751885137
T4,m4_fep6_m60_0,1.1700645221746246
T4,m1_fep6_p1_60,-0.08716913628882599
T4,m2_fep6_p1_60,0.3922995326051513
T4,m3_fep6_p1_60,-0.40345765398385436
T4,m4_fep6_p1_60,0.12445580160269708
T4,m1_fep7_m1_0,0.8793410587412845
T4,m2_fep7_m1_0,0.8255880553622074
T4,m3_fep7_m1_0,1.4449610543723663
T4,m4_fep7_m1_0,0.7698044482923848
T4,m1_fep7_m60_0,1.812367846515093
T4,m2_fep7_m60_0,1.8493278143235463
T4,m3_fep7_m60_0,1.3806768689492048
T4,m4_fep7_m60_0,5.469371895400845
T4,m1_fep7_p1_60,0.49103249818672373
T4,m2_fep7_p1_60,0.3109355975304495
T4,m3_fep7_p1_60,-0.3797102718484021
T4,m4_fep7_p1_60,-0.8738484710683092
T4,m1_fep8_m1_0,1.3836865719615414
T4,m2_fep8_m1_0,1.1773821572415248
T4,m3_fep8_m1_0,2.6381200144607138
T4,m4_fep8_m1_0,1.1578176281937793
T4,m1_fep8_m60_0,3.1238045210490926
T4,m2_fep8_m60_0,2.4553070500987464
T4,m3_fep8_m60_0,2.17263844637091
T4,m4_fep8_m60_0,10.131433839822531
T4,m1_fep8_p1_60,1.2811728147606933
T4,m2_fep8_p1_60,0.9158992594351769
T4,m3_fep8_p1_60,-0.2641330749052981
T4,m4_fep8_p1_60,-0.1862080635199232
T4,m1_fep9_m1_0,1.9615845075569789
T4,m2_fep9_m1_0,1.404040335509044
T4,m3_fep9_m1_0,4.335310700702467
T4,m4_fep9_m1_0,1.532712851734804
T4,m1_fep9_m60_0,4.395614531178276
T4,m2_fep9_m60_0,3.282320297111662
T4,m3_fep9_m60_0,3.66489531490415
T4,m4_fep9_m60_0,15.845945542533915
T4,m1_fep9_p1_60,1.7515058937668921
T4,m2_fep9_p1_60,1.434115574005653
T4,m3_fep9_p1_60,0.5053065604328429
T4,m4_fep9_p1_60,-0.07676903412783921
T4,m1_fep10_m1_0,1.3674819196645567
T4,m2_fep10_m1_0,1.9547583844714242
T4,m3_fep10_m1_0,9.030609441458209
T4,m4_fep10_m1_0,2.0696895751843463
T4,m1_fep10_m60_0,3.309886834466411
T4,m2_fep10_m60_0,4.540250274469123
T4,m3_fep10_m60_0,7.04605887599624
